2025-10-24T07:42:36.521143Z	keysym=a	char='a'
2025-10-24T07:42:36.557093Z	keysym=s	char='s'
2025-10-24T07:42:36.610300Z	keysym=d	char='d'
2025-10-24T07:42:36.654161Z	keysym=f	char='f'
2025-10-24T07:42:36.772547Z	keysym=a	char='a'
2025-10-24T07:42:36.809939Z	keysym=s	char='s'
2025-10-24T07:42:36.911805Z	keysym=f	char='f'
2025-10-24T07:42:36.947503Z	keysym=d	char='d'
2025-10-24T07:42:36.997712Z	keysym=a	char='a'
2025-10-24T07:42:37.033849Z	keysym=s	char='s'
2025-10-24T07:42:37.117944Z	keysym=d	char='d'
2025-10-24T07:42:37.143820Z	keysym=f	char='f'
2025-10-24T07:42:37.531230Z	keysym=a	char='a'
2025-10-24T07:42:37.580820Z	keysym=s	char='s'
2025-10-24T07:42:37.639233Z	keysym=d	char='d'
2025-10-24T07:42:37.661678Z	keysym=f	char='f'
2025-10-24T07:42:37.878684Z	keysym=f	char='f'
2025-10-24T07:42:38.067838Z	keysym=s	char='s'
2025-10-24T07:42:38.090160Z	keysym=d	char='d'
2025-10-24T07:42:38.200478Z	keysym=f	char='f'
2025-10-24T07:42:38.337167Z	keysym=a	char='a'
2025-10-24T07:42:38.388434Z	keysym=s	char='s'
2025-10-24T07:42:38.458018Z	keysym=d	char='d'
2025-10-24T07:42:38.534888Z	keysym=f	char='f'
2025-10-24T07:42:38.692022Z	keysym=a	char='a'
2025-10-24T07:42:38.716101Z	keysym=s	char='s'
2025-10-24T07:42:38.828991Z	keysym=d	char='d'
2025-10-24T07:42:38.887737Z	keysym=f	char='f'
2025-10-24T07:42:39.014850Z	keysym=a	char='a'
2025-10-24T07:42:39.037388Z	keysym=s	char='s'
2025-10-24T07:42:39.140926Z	keysym=d	char='d'
2025-10-24T07:42:39.173100Z	keysym=f	char='f'
2025-10-24T07:42:39.275394Z	keysym=a	char='a'
2025-10-24T07:42:39.293671Z	keysym=s	char='s'
2025-10-24T07:42:39.370474Z	keysym=d	char='d'
2025-10-24T07:42:39.420497Z	keysym=f	char='f'
2025-10-24T07:42:39.815338Z	keysym=Meta_L	char=''
2025-10-24T07:42:39.988958Z	keysym=Control_L	char=''
2025-10-24T07:42:46.996319Z	keysym=Meta_L	char=''
